station,date,year,month,day,precip_mm_day,coverage,quality_flag,variable,mean,min,max
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),windSpd_Min,1.3,0.2,4.8
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),windSpd_Max,3.1,1.3,8.1
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),windDir,168.1,67.6,313.8
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),dewPt_Avg,13.8,11.4,16.7
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),vPress,1.6,1.3,1.9
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),vPressSat,3.8,2.2,5.5
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),airTemp_Min,26.9,18.5,34.5
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),airTemp_Max,28.2,19.4,34.9
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),day,5,5,5
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),airTemp_Avg,29.3,23.8,35.5
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),rh,37.2,22.8,54.9
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),parDen_Avg,673.4,0,2015.9
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),swRadIn_Avg,330.7,-4.9,983.2
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),windSpd_Avg,4.7,2,7.9
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),windSpd_Min,3.1,1.3,5.6
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),windSpd_Max,6.6,3.1,10.5
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),windDir,170.1,108.6,215.6
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),dewPt_Avg,12.4,6.9,14.8
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),vPress,1.5,1,1.7
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),vPressSat,4.2,3,5.8
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),airTemp_Min,28.6,22.4,35.2
BLBT,2024-08-05,2024,8,5,0,1,OK (>=90%),airTemp_Max,29.9,24,35.8
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),day,6,6,6
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),airTemp_Avg,28.1,21.2,35.1
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),rh,32.8,17.9,49
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),parDen_Avg,691.2,0,2070.6
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),swRadIn_Avg,347.8,-5.2,1042.7
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),windSpd_Avg,3,1.8,4.6
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),windSpd_Min,1.9,0.5,3
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),windSpd_Max,4.3,2.4,7.2
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),windDir,165.4,100.3,218.2
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),dewPt_Avg,9.4,6.6,12.9
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),vPress,1.2,1,1.5
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),vPressSat,3.9,2.5,5.6
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),airTemp_Min,27.2,20.2,34.8
BLBT,2024-08-06,2024,8,6,0,1,OK (>=90%),airTemp_Max,29,22.2,35.5
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),day,7,7,7
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),airTemp_Avg,28,17.5,36.1
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),rh,34.1,13.3,66.7
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),parDen_Avg,691,0,2060.4
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),swRadIn_Avg,345,-4.4,1024.4
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),windSpd_Avg,2.1,0.9,3.3
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),windSpd_Min,1.2,0.2,2.2
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),windSpd_Max,3,1.4,4.7
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),windDir,192.1,75.1,267.1
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),dewPt_Avg,9,3.5,11.9
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),vPress,1.2,0.8,1.4
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),vPressSat,4,2,6
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),airTemp_Min,27.1,16.9,35.7
BLBT,2024-08-07,2024,8,7,0,1,OK (>=90%),airTemp_Max,28.9,18.8,36.5
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),day,8,8,8
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),airTemp_Avg,26.3,18.8,35.5
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),rh,43.9,20.1,62
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),parDen_Avg,566,0,2012.8
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),swRadIn_Avg,277.2,-3.8,990.7
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),windSpd_Avg,4.3,0.5,14
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),windSpd_Min,2.9,0.2,10.5
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),windSpd_Max,5.8,1,17.4
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),windDir,147.7,83.7,275
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),dewPt_Avg,12,9.3,15.2
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),vPress,1.4,1.2,1.7
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),vPressSat,3.6,2.2,5.8
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),airTemp_Min,25.3,18.1,34.9
BLBT,2024-08-08,2024,8,8,0,1,OK (>=90%),airTemp_Max,27.5,19.7,36.3
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),day,9,9,9
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),airTemp_Avg,26.2,19.8,34.3
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),rh,47.2,22.4,67.8
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),parDen_Avg,661.6,0,1988.3
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),swRadIn_Avg,327.2,-3.7,973.1
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),windSpd_Avg,5.5,2.4,11.1
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),windSpd_Min,3.7,1.2,8
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),windSpd_Max,7.5,3.4,14.2
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),windDir,95.9,39,197.6
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),dewPt_Avg,13.3,9.6,15.2
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),vPress,1.5,1.2,1.7
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),vPressSat,3.5,2.3,5.4
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),airTemp_Min,25.6,19.5,33.5
BLBT,2024-08-09,2024,8,9,0,1,OK (>=90%),airTemp_Max,26.9,20.1,35.3
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),day,10,10,10
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),airTemp_Avg,27.2,19.6,34.6
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),rh,38.4,19.5,64.9
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),parDen_Avg,669.1,0,2035.4
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),swRadIn_Avg,330.9,-4.5,1004.2
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),windSpd_Avg,2,0.2,3.9
BLBT,2024-08-10,2024,8,10,0,1,OK (>=90%),windSpd_Min,1,0,2
